convertToSchedulingPriority, e_SCHED_MAX, 0, 0
addThreadGroup,  res_tmp == addThreadGroup(runFunction$ numThreads$ busyWorkAmount$ InitializeThreadFunction()$ CleanupThreadFunction()), 0, 5
nativeDefaultThreadStackSizeImp,  1 <= res_tmp && res_tmp <= INT_MAX, 0, 0
currentCount,  res_tmp == d_sigCount.loadAcquire(), 14980, 0
message, value, 0, 0
message, !res_tmp.empty(), 0, 0
rotl,  res_tmp == (x << b), 0, 0
u8to64_le,  res_tmp!= 0, 0, 0
rawLt64,  res_tmp < (1ULL << 64), 0, 1714
bound,  low <= res_tmp && res_tmp <= high, 5269502, 3459826
divmod10,  0 <= res_tmp && res_tmp < 10, 1675598, 0
canonicalizeDecimalValueClassification,  res_tmp == FP_NAN || res_tmp == FP_INFINITE || res_tmp == FP_ZERO || res_tmp == FP_NORMAL || res_tmp == FP_SUBNORMAL || res_tmp == -1, 0, 0
getNewCapacity,  res_tmp >= length, 342, 0
getNewCapacity,  res_tmp >= size, 70, 0
getNewCapacity,  res_tmp >= size, 39, 0
getNewCapacity,  res_tmp >= size, 42, 0
calculateMaxAlignedSize,  res_tmp % objectAlignmentMin == 0, 0, 201238
roundUp,  res_tmp % y == 0, 258, 0
alignedAllocationSize,  true, 43426, 0
initAlwaysUnavailable,  res_tmp >= (1ULL << 64), 53600, 0
expand,  res_tmp <= d_bufferSize, 61, 0
roundUp,  res_tmp >= x && res_tmp % y == 0, 1321, 0
computeInternalBlockSize,  res_tmp >= MINIMUM_LENGTH, 1321, 0
getSystemPageSize,  res_tmp > 0, 24239, 0
systemProtect,  res_tmp == 0 || res_tmp == 1, 12121, 0
systemUnprotect,  res_tmp == 0 || res_tmp!= 0, 12118, 0
findPool,  0 <= res_tmp && res_tmp <= 31, 89424, 0
alignedAllocationSize, BSLS_MAX_ALIGNMENT == 0, 0, 0
alignedAllocationSize,  res_tmp >= size, 114, 0
findPool,  0 <= res_tmp && res_tmp <= 31, 84775, 0
fileSize,  res_tmp >= 0, 0, 0
switchToInputMode,  res_tmp == 0 || res_tmp == -1, 0, 0
underflow,  res_tmp == underflowRead(), 0, 0
appendIfValid,  true, 4209, 0
makeCanonicalName,  res_tmp == u_makeCanonicalName(pipeName$ baseName), 2, 0
substr,  res_tmp.size() > 0, 7625, 0
getProcessId,  true, 924, 0
makeDirectory,  res_tmp == 0 || res_tmp == -1 || res_tmp == k_ERROR_ALREADY_EXISTS, 0, 0
u_removeContentsOfTree,  res_tmp == 0 || res_tmp == -2 || res_tmp == -7 || res_tmp == -9 || res_tmp == -10 || res_tmp == -11, 589, 0
getPid,  res_tmp >= 0, 36, 0
getProcessId,  res_tmp > 0, 36, 0
f1,  true, 4006272, 0
f1,  res_tmp!= value, 2506800, 0
f2,  true, 4006272, 0
f2,  res_tmp >= 0 && res_tmp < (1ULL << 64), 0, 2506800
f3,  true, 3004704, 0
f3,  res_tmp >= 0, 2005440, 0
f4,  res_tmp == rotateRight(value$ 17) ^ rotateRight(value$ 19) ^ (value >> 10), 120, 0
f4,  res_tmp == value, 121, 2005319
convert,  res_tmp == 0 || res_tmp == -1 || res_tmp == -2, 65825, 0
getLengthInUse,  0 <= res_tmp && res_tmp < BYTEBLOCKSIZE, 793753, 0
setSeekFailure,  res_tmp < 0, 9, 0
overflow, eof(), 0, 0
rotateLeft,  res_tmp == (value << shift) | (value >> ((sizeof(value) * CHAR_BIT) - shift)), 2162480, 0
bitwiseConditional,  true, 626640, 0
bitwiseMajority,  res_tmp == 0 || res_tmp == 1, 0, 626640
f,  (res_tmp == bitwiseConditional(x$ y$ z)) || (res_tmp == bitwiseMajority(x$ y$ z)) || (res_tmp == x ^ y ^ z), 2506560, 0
pack,  res_tmp == pack(bytes), 0, 0
utf8ToUcs2,  res_tmp == k_SUCCESS || res_tmp == k_OUTPUT_BUFFER_TOO_SMALL || res_tmp == (k_SUCCESS | k_OUTPUT_BUFFER_TOO_SMALL), 657391, 9540520
compare,  res_tmp == uc, 0, 0
utf8Size,  1 <= res_tmp && res_tmp <= 4, 236227, 0
get2ByteValue,  res_tmp >= 0 && res_tmp <= 0x3f, 95324, 8402025
get3ByteValue,  0 <= res_tmp && res_tmp < (1 << 24), 9814178, 0
get4ByteValue,  res_tmp >= 0 && res_tmp <= 0xFFFFFFFF, 8191910, 0
validateAndCountCodePoints,  res_tmp >= 0, 7327998, 2032732
getLineAndColumnNumber,  res_tmp == k_LOCATION_NOT_FOUND || res_tmp == 0 || res_tmp == status, 0, 0
lookaheadContinuations,  0 <= res_tmp && res_tmp <= n, 378665, 0
endConvert,  res_tmp == -1 || res_tmp == 0, 1036, 0
numActiveThreads,  res_tmp == d_numActiveThreads, 46, 0
advanceTime,  res_tmp > 0, 4, 0
currentTime,  res_tmp.isValid(), 0, 0
start,  res_tmp == start(attr).result(), 0, 0
nextPendingEventTime,  res_tmp >= 0, 21, 0
advanceTime,  res_tmp >= amount, 4, 0
now,  res_tmp.is_valid(), 0, 0
enqueueJob,  0 <= priority && priority < d_queue.numPriorities(), 22494, 0
start,  res_tmp == 0 || res_tmp == -1, 129, 0
createQueue,  res_tmp > 0 && res_tmp == d_nextId, 0, 7549
invalidThreadId, invalidId(), 0, 0
advanceTime,  res_tmp >= 0, 16, 0
currentTime,  res_tmp == d_currentTime, 36, 0
returnZero,  res_tmp == 0, 98, 0
chooseNextEvent,  *now >= 0, 2266, 0
cancelEvent, e_INVALID || res_tmp == cancelEvent(*handle), 0, 0
advanceTime,  res_tmp > d_data_p->d_time, 0, 0
now,  res_tmp >= 0, 5, 0
nextPermit,  res_tmp == -1 || res_tmp == 0, 62, 0
readUnquotedString,  res_tmp == 0 || res_tmp == -1, 262, 12
findFirstNonDigit,  res_tmp >= begin && res_tmp <= end, 199381, 0
expandBufferForLargeValue,  res_tmp == 0 || res_tmp == -1, 3153, 0
advanceToNextToken,  res_tmp == 0 || res_tmp == -1, 88408, 0
value,  res_tmp == 0 || res_tmp == -1, 1612, 0
readObject,  res_tmp == 0 || res_tmp!= 0, 520, 0
readArray,  res_tmp == 0 || res_tmp!= 0, 1622, 0
readScalar,  res_tmp == 0 || res_tmp == -1, 873, 0
read,  res_tmp == 0 || res_tmp == -1, 788, 35
circularDifference,  res_tmp == minuend - subtrahend - modulo || res_tmp == minuend - subtrahend + modulo, 5162, 573808
reservePushIndex,  res_tmp == 0 || res_tmp == e_QUEUE_FULL || res_tmp == e_DISABLED_QUEUE, 1844404, 0
length,  0 <= res_tmp && res_tmp <= d_capacity, 1919723, 0
charToHex,  res_tmp == 0 || res_tmp == -1, 0, 0
