Function Name, Postcondition, true, false
addBlankLine,  true, 0, 0
printTextReplacingXMLEscapes,  res_tmp == 0, 0, 0
printDecimalWithDigitsOptions,  res_tmp != NULL, 0, 0
extractNamespaceFromXsd,  res_tmp == true, 9, 3
addBlankLine,  true, 0, 0
lookupPredefinedId, e_PREDEF_MIN && res_tmp < ARRAY_LEN(predefinedNamespaces) || res_tmp == -1, 0, 0
encodeCharArray,  res_tmp != -1, 18, 0
decodeObject,  res_tmp == 0 || res_tmp == -4 || res_tmp == -1 || res_tmp == -2 || res_tmp == -3, 1137, 0
decodeArray,  res_tmp == 0 || res_tmp == -4 || res_tmp == -1 || res_tmp == -2, 3002, 0
extractValue,  res_tmp == 0 || res_tmp == -1, 1646, 0
encodeArray, encodeValue(formatter$ datum[datum.length() - 1]$ strictTypesCheckStatus), 0, 4
encodeObject,  res_tmp == 0, 599, 0
decode,  res_tmp == 0 || res_tmp == -2 || res_tmp == -3, 1670, 49
logTokenizerError, ostream reference, 0, 0
getUnquotedString,  res_tmp != -1, 63, 42
isValidDefaultRecordBufferSize,  res_tmp, 2, 1
operator=,  res_tmp == *this, 0, 0
defaults,  res_tmp == d_defaults, 0, 0
operator==,  res_tmp == true, 0, 0
fromAsciiCaseless,  res_tmp == BALL_SUCCESS || res_tmp == BALL_FAILURE, 87, 0
disassembleSharedPtr,  res_tmp != NULL, 112657, 0
filterName,  res_tmp != NULL && res_tmp[-1] == '\0', 5592, 36
isCategoryEnabled,  res_tmp == true, 118709, 37
convertBslsLogSeverity, Level enum, 0, 0
getRecordPtr,  res_tmp->fixedFields().fileName() == fileName && res_tmp->fixedFields().lineNumber() == lineNumber, 0, 118717
getRecord,  res_tmp != NULL, 112657, 0
isCategoryEnabled,  res_tmp == true, 112632, 0
allocator,  res_tmp != NULL, 46, 0
format,  (signed)numBytes <= res_tmp, 0, 1999
operator==,  res_tmp == true, 7667, 14184
hash,  res_tmp == rule.d_hashValue && res_tmp < rule.d_hashSize, 24942, 0
operator=,  res_tmp.d_pattern == rhs.d_pattern && res_tmp.d_thresholds == rhs.d_thresholds && res_tmp.d_attributeSet == rhs.d_attributeSet && res_tmp.d_hashValue == rhs.d_hashValue && res_tmp.d_hashSize == rhs.d_hashSize, 603, 0
print,  res_tmp != NULL, 0, 0
operator=,  res_tmp.size() == rhs.size(), 0, 0
hasValue,  res_tmp == true, 11727, 7762
operator==,  res_tmp == true || res_tmp == false, 31496, 0
print,  res_tmp != NULL, 0, 0
toAscii,  res_tmp != "(* UNKNOWN *)", 0, 0
isValid,  res_tmp == true, 226, 264
print,  stream.flush() == true, 0, 0
addCategoryHierarchically,  res_tmp != NULL, 0, 0
deregisterObserver,  res_tmp == 0 || res_tmp == 1, 25, 0
findObserver,  res_tmp != nullptr, 36, 14
getDefaultFormat,  res_tmp.length() == k_BUFFER_SIZE, 0, 0
parse,  res_tmp == 0 || d_name != "", 7059, 0
name,  res_tmp != NULL && d_name.is_constant(), 0, 0
key,  res_tmp != NULL, 0, 0
make,  res_tmp != NULL, 529106, 0
setFormat,  res_tmp == -1 || res_tmp == decode_error_code || res_tmp == parse_result, 0, 0
fromAscii,  res_tmp == 0 || res_tmp == -1, 45, 0
print,  res_tmp != NULL, 0, 0
setLevels,  res_tmp == 0, 0, 0
hash,  0 <= res_tmp < size, 134789, 1
operator=,  d_attributeSet == rhs.d_attributeSet, 384, 0
evaluate,  res_tmp == true, 9, 10
operator==,  res_tmp == true, 3795, 27637
addCategory,  res_tmp == 0, 18, 27
createStopRecord,  res_tmp != NULL, 0, 0
isStopRecord,  res_tmp == true, 226, 632554
isValidDefaultRecordBufferSize,  res_tmp == true, 9, 2
operator=,  res_tmp == rhs, 2, 0
defaultRecordBufferSize,  res_tmp == d_recordBufferSize, 7, 0
operator==,  res_tmp == (lhs.d_recordBufferSize == rhs.d_recordBufferSize && lhs.d_loggerBufferSize == rhs.d_loggerBufferSize && lhs.d_defaultRecordLevel == rhs.d_defaultRecordLevel && lhs.d_defaultPassLevel == rhs.d_defaultPassLevel && lhs.d_defaultTriggerLevel == rhs.d_defaultTriggerLevel && lhs.d_defaultTriggerAllLevel == rhs.d_defaultTriggerAllLevel), 100, 0
message,  *(res_tmp + length - 1) == '\0', 29, 29
operator==,  res_tmp == (lhs.d_timestamp == rhs.d_timestamp && lhs.d_processID == rhs.d_processID && lhs.d_threadID == rhs.d_threadID && lhs.d_severity == rhs.d_severity && lhs.d_lineNumber == rhs.d_lineNumber && lhs.d_fileName == rhs.d_fileName && lhs.d_category == rhs.d_category && lhs.messageRef() == rhs.messageRef()), 276, 0
update,  res_tmp == d_resultMask, 46156, 0
print,  stream.flush() == true, 0, 0
contextKey,  res_tmp != NULL, 0, 0
getContext,  res_tmp != NULL, 734, 0
hasRelevantActiveRules,  res_tmp == true, 251, 133425
print,  stream.flush() == true, 0, 0
hash,  res_tmp >= 0, 906466, 0
print,  res_tmp != NULL, 0, 0
operator<<,  res_tmp == output, 0, 0
getErrorCode,  res_tmp >= 0, 1, 0
getTimestampSuffix,  res_tmp is a string in the format "%04d%02d%02d_%02d%02d%02d", 0, 0
hasEscapePattern,  res_tmp == true || res_tmp == false, 9, 0
openLogFile,  res_tmp == 0 || res_tmp == -1, 41, 0
fuzzyEqual,  res_tmp == fuzzyEqual(a$ b$ interval), 0, 0
computeNextRotationTime,  res_tmp is a valid datetime object, 0, 0
isFileLoggingEnabled,  res_tmp == true, 56, 46
print, ostream object, 0, 0
operator<<,  res_tmp == output, 0, 0
operator=,  true, 153, 0
hasValue,  res_tmp == true || res_tmp == false, 224, 0
operator==,  res_tmp == true, 359, 642
addRule,  res_tmp >= 0, 256689, 45844
ruleId,  res_tmp >= 0 && res_tmp == d_ruleAddresses.size() - 1 || res_tmp == -1, 14725, 144446
operator==,  res_tmp == true, 173920, 1333
hash,  0 <= res_tmp < size, 60, 1
print,  res_tmp.is_modified(), 0, 0
addCollector,  res_tmp == 0 || res_tmp == 1, 19, 0
print,  res_tmp != NULL, 0, 0
isValidPattern,  res_tmp == true, 0, 0
addNewCategory,  res_tmp != NULL, 8436, 0
lookupCategory,  res_tmp != 0, 6484, 56
print,  stream.good(), 0, 0
operator<<,  res_tmp != NULL, 0, 0
isLessThan, strcmp(a.d_key$ b.d_key) < 0), 0, 0
getZoneinfoId,  res_tmp == 0 || res_tmp == -1, 108, 0
initSystemDefaultCache,  res_tmp != NULL, 3, 0
instance,  res_tmp != NULL, 21, 0
defaultZoneinfoDataLocation,  res_tmp != "", 6, 0
lookupTimeZone,  (0 == rc && 0 != *timeZone) || (0 != rc && 0 == *timeZone), 146, 0
findTransitionWithDstFlag,  res_tmp != timeZone.endTransitions(), 26, 28
convertUtcToLocalTime,  res_tmp == 0, 52, 314
print,  res_tmp != NULL, 0, 0
print,  res_tmp != NULL, 0, 0
configureImp,  res_tmp == 0 || res_tmp != 0, 85, 0
validateTimeZoneId,  res_tmp == 0 || res_tmp == -1 || res_tmp == -2, 403, 0
loadTimeZoneImpl, read(result$ infile), 0, 0
isPlausibleZoneinfoRootPath,  res_tmp == true, 14, 67
loadTimeZoneFilePath,  res_tmp is an integer, 0, 0
areAllPrintable,  res_tmp == true, 4, 0
readRawTz,  res_tmp == 0 || res_tmp == -1, 427, 0
decode32,  res_tmp == BSLS_BYTEORDER_BE_U32_TO_HOST(BSLS_BYTEORDER_BE_U32(address[0]$ address[1]$ address[2]$ address[3])), 0, 0
readHeader,  res_tmp == 0 || res_tmp == -1 || res_tmp == -2 || res_tmp == -3 || res_tmp == -4 || res_tmp == -5 || res_tmp == -6 || res_tmp == -7 || res_tmp == -8 || res_tmp == -9, 1290, 0
readVersion2Or3FormatData,  res_tmp == 0 || res_tmp != -23 && res_tmp != -24 && res_tmp != -25 && res_tmp != -26 && res_tmp != -27 && res_tmp != -28 && res_tmp != -29 && res_tmp != -30 && res_tmp != -31 && res_tmp != -32, 427, 8
read,  res_tmp == readImpl(zoneinfoResult$ &description$ k_READ_NORMALIZED$ stream), 0, 378
convertUtcToLocalTime, k_OUT_OF_RANGE, 0, 0
operator<<,  res_tmp != NULL, 0, 0
print,  res_tmp == stream, 0, 0
containsDescriptor,  res_tmp == true || res_tmp == false, 5980, 0
print,  res_tmp != NULL, 0, 0
operator<<,  res_tmp.good(), 0, 0
operator(),  res_tmp == (lhs.utcOffsetInSeconds() != rhs.utcOffsetInSeconds() && lhs.utcOffsetInSeconds() < rhs.utcOffsetInSeconds(, 0, 0
operator<<,  res_tmp.has_format("[ \"" << object.identifier(, 0, 0
addInterval,  res_tmp >= originalTime.datetimeTz().utcDatetime(), 0, 0
print,  res_tmp == stream, 0, 0
getZoneinfo,  res_tmp != NULL, 0, 0
lookupZoneinfo,  res_tmp != 0, 0, 0
print,  res_tmp != NULL, 0, 0
operator=,  *res_tmp == *rhs, 0, 0
operator==,  res_tmp == (static_cast<const OptionInfo&>(lhs) == static_cast<const OptionInfo&>(rhs)), 581436, 0
parseValue,  res_tmp == true || res_tmp == false, 80, 0
elemTypeToString,  res_tmp != NULL && strlen(res_tmp) > 0, 0, 0
type, e_BOOL, 0, 0
operator=,  true, 7140, 0
constraint,  res_tmp != NULL, 24714, 0
operator==,  res_tmp == true, 9540, 58176
type,  true, 3250, 0
value,  res_tmp != NULL, 446, 55
operator<<,  res_tmp == stream, 0, 0
isValidEnvironmentVariableName,  res_tmp == true, 835, 6
validate,  res_tmp != 0 && res_tmp != -14, 95, 1919576
parseEnvironmentVariable,  res_tmp == 1 || res_tmp == -1, 215, 8
findName,  res_tmp >= 0 && res_tmp < d_options.size() || res_tmp == -1, 384473, 0
isValidOptionSpecificationTable,  res_tmp == true, 1515, 65
operator=,  d_state == e_PARSED && d_arguments != rhs.d_arguments, 0, 355813
hasOption,  res_tmp == true, 2962, 5924
theBool,  res_tmp is bool, 0, 0
operator==,  res_tmp == true, 718199, 2129508
